company_name,rating,reviews,company_type,headquarters,years_old,emp_count
Whitehat jr,3.5,2.8k,Startup,Mumbai +50 more,6 years old,5k-10k Employees
CMS IT Services,3.2,2.5k,Startup,Bangalore +138 more,10 years old,5k-10k Employees
KFintech,3.7,2k,Startup,Hyderabad +102 more,7 years old,5k-10k Employees
Ninjacart,4.1,1.8k,Startup,Bangalore +95 more,9 years old,1k-5k Employees
Planet Spark,3.7,1.5k,Startup,Gurgaon +41 more,7 years old,51-200 Employees
Paisabazaar.com,3.7,1.3k,Startup,Gurgaon/Gurugram +20 more,10 years old,1k-5k Employees
Veritas Finance,4.7,1.2k,Startup,Chennai +260 more,9 years old,1k-5k Employees
Aye Finance,4.2,1.1k,Startup,Delhi +237 more,11 years old,5k-10k Employees
SYSKA LED Lights,2.9,993,Startup,Pune +152 more,12 years old,1k-5k Employees (Global)
Wheelseye Technology,3.7,967,Startup,Gurgaon +182 more,7 years old,1k-5k Employees
TELUS International Philippines,3.8,950,Startup,Pasig City +15 more,19 years old,1k-5k Employees
iMerit,3.8,863,Startup,Kolkata +10 more,12 years old,1k-5k Employees
FastInfo,4.3,844,Startup,Kolkata +7 more,5 years old,501-1k Employees
Stanza Living,3.1,793,Startup,Delhi +30 more,7 years old,501-1k Employees
Better.com,3,723,Startup,New York City +5 more,8 years old,1k-5k Employees
Skill Lync,3.1,726,Startup,Palo Alto +13 more,9 years old,1k-5k Employees
Toppr,3.5,701,Startup,Mumbai +43 more,11 years old,1k-5k Employees
Vertiv,4,712,Startup,Columbus +48 more,8 years old,51-200 Employees (Global)
Dunzo,3.5,700,Startup,Bangalore +18 more,10 years old,1k-5k Employees
Rupeek,3.7,691,Startup,Bangalore +55 more,9 years old,1k-5k Employees
HomeLane,3.5,634,Startup,Bangalore +34 more,10 years old,1k-5k Employees
Porter,4.2,636,Startup,Bangalore +24 more,10 years old,1k-5k Employees
Quantiphi Analytics Solutions Private Limited,3.1,632,Startup,Marlborough +11 more,11 years old,1k-5k Employees
Medlife,3.7,591,Startup,Bangalore +29 more,10 years old,1k-5k Employees
Embibe,3.7,613,Startup,Bangalore +17 more,12 years old,1k-5k Employees
Cogoport,3,588,Startup,Mumbai +12 more,8 years old,51-200 Employees
uFaber,2.7,559,Startup,Mumbai +19 more,11 years old,1k-5k Employees
mPokket,4.3,550,Startup,Kolkata +11 more,8 years old,1k-5k Employees
CIEL HR,4.1,530,Startup,Bangalore +77 more,9 years old,1k-5k Employees
Samunnati Financial Intermediation and Services,4.5,484,Startup,Chennai +53 more,10 years old,201-500 Employees
Portea Medical,4.4,479,Startup,Bangalore +32 more,11 years old,1k-5k Employees
Kissht Finance,4.1,471,Startup,Mumbai +59 more,9 years old,201-500 Employees
Housing.com,3.8,480,Startup,Gurgaon +32 more,12 years old,1k-5k Employees
Testbook.com,3.7,486,Startup,Mumbai +25 more,10 years old,501-1k Employees
Tiger Analytics,3.5,476,Startup,Santa Clara +8 more,13 years old,1k-5k Employees
NxtWave,4,462,Startup,Hyderabad / Secunderabad +20 more,4 years old,1k-5k Employees
Ather Energy,4.1,452,Startup,Bangalore +39 more,11 years old,1k-5k Employees
Tracxn,3.2,449,Startup,Bangalore +7 more,11 years old,501-1k Employees
Collegedunia,3.2,445,Startup,Gurgaon/Gurugram +17 more,10 years old,1k-5k Employees
Cuemath,3.8,436,Startup,Bangalore +21 more,11 years old,1k-5k Employees
Finastra,3.9,440,Startup,Paddington +10 more,7 years old,1k-5k Employees
Agrostar,4,438,Startup,Pune +37 more,11 years old,1k-5k Employees
Turtlemint,3.6,429,Startup,Mumbai +83 more,9 years old,1k-5k Employees
Spoton Logistics,4.5,418,Startup,Bangalore +72 more,12 years old,1k-5k Employees
